a	A
durian	durian
during	selama
duro	keras
durst	berani
durum	durum
dusk	senja
dusky	agak hitam
dust	debu
dustbin	tempat sampah
dustbins	tempat sampah
dustcover	penutup debu
dusted	berdebu
duster	kain lap
dusters	kemoceng
dusting	membersihkan debu
dustless	tanpa debu
dustman	tukang sampah
dustpan	Pengki dan sapu
dustproof	tahan debu
dusts	debu
dusty	berdebu
dutch	Belanda
dutiable	yg kena bea cukai
duties	tugas
dutiful	patuh
dutifully	dengan patuh
duty	tugas
duvet	selimut
duvets	selimut
dux	dux
dwarf	kerdil
dwarfed	kerdil
dwarfing	kerdil
dwarfish	kerdil
dwarfism	kerdil
dwarfs	kurcaci
dweeb	kutu buku
dweebs	kutu buku
dwell	tinggal
dweller	penghuni
dwellers	penduduk
dwelling	tempat tinggal
dwellings	tempat tinggal
dwells	tinggal
dwelt	tinggal
dwindle	berkurang
dwindled	menyusut
dwindles	berkurang
dwindling	semakin berkurang
dwt	dwt
dyad	angka dua
dyadic	diadik
dyads	pasangan
dybbuk	dybbuk
dye	pewarna
dyed	diwarnai
dyeing	pencelupan
dyer	tukang celup
dyers	pewarna
dyes	pewarna
dyestuff	zat pewarna
dyestuffs	zat pewarna
dying	sekarat
dyke	tanggul
dykes	tanggul
dynamic	dinamis
dynamical	dinamis
dynamically	secara dinamis
dynamics	dinamika
dynamism	dinamisme
dynamist	dinamisator
dynamite	dinamit
dynamited	diledakkan
dynamo	dinamo
dynamometer	dinamometer
dynamometers	dinamometer
dynamos	dinamo
dynastic	dinasti
dynasties	dinasti
dynasts	dinasti
dynasty	dinasti
dynatron	dynatron
dyne	dyne
dynes	dynes
dysarthria	disartria
dysentery	disentri
dysfunction	penyelewengan fungsi
dysfunctional	disfungsional
dysfunctions	disfungsi
dysgraphia	disgrafia
dyslexia	disleksia
dyslexic	disleksia
dyslexics	penderita disleksia
dyspepsia	dispepsia
dyspeptic	muram
dysphagia	disfagia
dysphasia	disfasia
dysphonia	disfonia
dysphoria	disforia
dysphoric	disforik
dysplasia	displasia
dysplasias	displasia
dysplastic	displastik
dyspnea	sesak napas
dysprosium	disprosium
dysthymia	distimia
dystonia	distonia
dystopia	distopia
dystopian	distopia
dystrophic	distrofik
dystrophy	distrofi
dysuria	disuria
dz	dz
e	e
ea	ea
each	setiap
eager	ingin sekali
eagerly	dengan penuh semangat
eagerness	keinginan
eagle	burung rajawali
eagles	elang
eaglet	anak garuda
eaglewood	kayu elang
ealdorman	ealdorman
ear	telinga
earache	sakit telinga
earaches	sakit telinga
earbud	earbud
earbuds	earbud
eardrops	obat tetes telinga
eardrum	gendang pendengar
eardrums	gendang telinga
eared	bertelinga
earful	penuh
earing	anting-anting
earl	pangeran
earldom	pangkat pangeran
earless	tanpa kuping
earlier	lebih awal
earliest	paling awal
earliness	awal
earlobe	cuping
earlobes	cuping telinga
earls	bangsawan
early	lebih awal
earmark	memperuntukkan
earmarked	dialokasikan
earmarking	pengalokasian dana
earmarks	alokasi khusus
earmuff	penutup telinga
earmuffs	alat penutup telinga
earn	menghasilkan
earned	memperoleh
earner	pencari nafkah
earners	penghasilan
earnest	sungguh-sungguh
earnestly	dengan sungguh-sungguh
earnestness	kesungguhan
earning	penghasilan
earnings	pendapatan
earns	menghasilkan
earphone	earphone
earphones	earphone
earpiece	earphone
earpieces	earphone
earplug	penyumbat telinga
earplugs	penyumbat telinga
earring	subang
earrings	anting-anting
ears	telinga
earshot	jarak pendengaran
earsplitting	memekakkan telinga
earth	bumi
earthbound	terbatas pd bumi
earthed	dibumikan
earthen	tanah
earthenware	tembikar
earthiness	sifat alami
earthing	pembumian
earthlight	cahaya bulan
earthling	penduduk bumi
earthlings	penduduk bumi
earthly	duniawi
earthman	manusia bumi
earthmover	buldozer
earthmoving	pekerjaan pemindahan tanah
earthquake	gempa bumi
earthquakes	gempa bumi
earths	bumi
earthshaker	penggoncang bumi
earthshaking	mengguncang bumi
earthshine	cahaya bulan
earthward	menuju ke bumi
earthwork	pekerjaan tanah
earthworks	pekerjaan tanah
earthworm	cacing tanah
earthworms	cacing tanah
earthy	bersahaja
earwax	tahi telinga
earwig	kutu telinga
earwigs	kutu telinga
ease	kemudahan
eased	mereda
easel	kuda-kuda lukisan
easels	kuda-kuda lukisan
easement	keenakan
easements	hak jalan
eases	meredakan
easier	lebih mudah
easiest	paling mudah
easily	dengan mudah
easiness	kemudahan
easing	pelonggaran
east	timur
eastbound	yg menuju ke timur
easterlies	angin timur
easterly	timur
eastern	timur
easterner	orang timur
easterners	orang timur
easternmost	paling timur
easting	arah timur
eastward	ke arah timur
eastwards	ke arah timur
easy	mudah
easygoing	mudah bergaul
eat	makan
eatable	yg dpt dimakan
eatables	makanan
eaten	dimakan
eater	pemakan
eateries	tempat makan
eaters	pemakan
eatery	restoran
eating	makan
eats	makan
eau	air
eave	atap
eaves	atap
eavesdrop	menguping
eavesdropped	menguping
eavesdropper	penyadap
eavesdroppers	penyadap
eavesdropping	menguping
ebb	surut
ebbed	surut
ebbing	surut
ebbs	surut
ebon	hitam
ebonite	ebonit
ebonized	dihitamkan
ebony	kayu hitam
ebullience	kegembiraan
ebullient	bersemangat
ebullition	mendidih
eccentric	eksentrik
eccentrically	secara eksentrik
eccentricities	keanehan
eccentricity	keanehan
eccentrics	orang-orang eksentrik
ecchymosis	memar
eccl	eccl
ecclesia	gereja
ecclesial	gerejawi
ecclesiastic	rohaniwan
ecclesiastical	gerejawi
ecclesiastics	para rohaniwan
ecclesiology	eklesiologi
eccrine	ekrin
echelon	eselon
echelons	eselon
echidna	landak
echinacea	echinacea
echinoderm	echinoderm
echinoderms	echinodermata
echinus	echinus
echo	gema
echoed	menggemakan
echoes	gema
echoing	menggemakan
echolocation	ekolokasi
echos	gema
echovirus	echovirus
echt	sungguh
eclair	eclair
eclairs	kue sus
eclampsia	eklampsia
eclat	sukses
eclectic	eklektik
eclectically	secara eklektik
eclecticism	eklektisisme
eclipse	gerhana
eclipsed	tergerhana
eclipses	gerhana
eclipsing	gerhana
ecliptic	ekliptika
eclogite	eklogit
eclogue	eklog
eclogues	ekolog
eclosion	eklokasi
ecol	sekolah
ecologic	ekologis
ecological	ekologis
ecologically	secara ekologis
ecologist	ahli ekologi
ecologists	ahli ekologi
ecology	ekologi
econ	ekonomi
econometric	ekonometrika
econometrician	ahli ekonometrika
econometrics	ekonometrika
economic	ekonomis
economical	ekonomis
economically	secara ekonomis
economics	ekonomi
economies	ekonomi
economism	ekonomisme
economist	ekonom
economists	ekonom
economize	menghemat
economizer	penghemat
economizing	berhemat
economy	ekonomi
ecosphere	ekosfer
ecosystem	ekosistem
ecosystems	ekosistem
ecotone	ekoton
ecotourism	ekowisata
ecotype	ekotipe
ecru	krem
ecstasies	ekstasi
ecstasy	ekstasi
ecstatic	sangat gembira
ecstatically	dengan gembira
ectoderm	ektoderm
ectoparasites	ektoparasit
ectopic	ektopik
ectoplasm	ektoplasma
ectropion	ektropion
ecu	ECU
ecumenical	ekumenis
ecumenism	ekumenisme
ecus	ekuator
eczema	eksim
eczematous	eksim
ed	ed
edamame	edamame
edaphic	edafik
eddies	pusaran air
eddo	eddo
eddy	pusaran air
eddying	pusaran air
edelweiss	bunga edelweiss
edema	busung
edematous	edema
edge	tepian
edged	bertepi
edger	alat pemotong tepi
edgers	alat pemotong tepi
edges	tepi
edgewise	dgn jalan miring
edgier	lebih berani
edginess	kegelisahan
edging	tepi
edgings	pinggiran
edgy	grogi
edh	edh
edibility	sifat dpt dimakan
edible	bisa dimakan
edibles	makanan
edict	dekrit
edicts	dekrit
edification	pendidikan
edifice	gedung
edifices	bangunan
edified	terdidik
edifier	pembangun
edify	memperbaiki akhlak
edifying	mencerahkan
edit	sunting
editable	dapat diedit
edited	diedit
editing	penyuntingan
edition	edisi
editions	edisi
editor	editor
editorial	tajuk rencana
editorialist	penulis editorial
editorialists	para penulis editorial
editorialize	editorial
editorialized	editorial
editorializing	editorial
editorially	secara editorial
editorials	editorial
editors	editor
editorship	keredaksian
edits	suntingan
eds	editor
educ	pendidikan
educable	dapat dididik
educate	mendidik
educated	berpendidikan
educates	mendidik
educating	mendidik
education	pendidikan
educational	pendidikan
educationalist	pendidik
educationalists	pendidik
educationally	secara mendidik
educationist	pendidik
educationists	pendidik
educations	pendidikan
educative	edukatif
educator	pendidik
educators	pendidik
eduction	pendidikan
edutainment	hiburan edukatif
eek	ih
eel	belut
eelgrass	rumput laut
eels	belut
eerie	ngeri
eerily	menyeramkan
eff	efisien
efface	menghapus
effaced	terhapus
effacement	penghapusan
effacer	penghapus
effaces	menghapus
effacing	menghapus
effect	memengaruhi
effected	terpengaruh
effecting	mempengaruhi
effective	efektif
effectively	secara efektif
effectiveness	efektivitas
effectivity	efektivitas
effector	efektor
effectors	efektor
effects	efek
effectual	mujarab
effectually	secara efektif
effectuate	menyelenggarakan
effectuated	dilaksanakan
effectuating	mewujudkan
effectuation	berlakunya
effeminacy	kebancian
effeminate	banci
effendi	effendi
efferent	eferen
effervescence	gelembung
effervescent	berbusa
effete	lelah
efficacious	manjur
efficaciously	secara efektif
efficacy	kemanjuran
efficiencies	efisiensi
efficiency	efisiensi
efficient	efisien
efficiently	secara efisien
effigies	patung-patung
effigy	patung
effing	sialan
efflorescence	kemekaran
effluent	tembusan
effluents	limbah
effluvia	bau busuk
effluvium	effluvium
efflux	penghabisan
effort	upaya
effortful	penuh usaha
effortless	mudah
effortlessly	dengan mudah
efforts	upaya
effrontery	kelancangan
effulgence	cahaya
effulgent	berkilau
effused	mengeluarkan cairan
effusion	efusi
effusions	efusi
effusive	berlebihan
effusively	dengan berlebihan
eft	kiri
efts	kaki
egad	astaga
egads	astaga
egalitarian	egaliter
egalitarianism	kesetaraan
egalitarians	kaum egaliter
egg	telur
eggbeater	pengocok telur
egged	telur
egger	telur
eggers	telur
egghead	orang terpelajar
eggheads	orang pintar
egging	telur
eggnog	minuman telur kopyok
eggplant	terung
eggplants	terong
eggs	telur
eggshell	kulit telur
eggshells	cangkang telur
eglantine	bunga eglantine
ego	ego
egocentric	egosentris
egocentricity	egosentrisme
egocentrism	egosentrisme
egoism	egoisme
egoist	egois
egoistic	egois
egomania	egomania
egomaniac	egois
egomaniacal	egois
egos	ego
egotism	egotisme
egotist	penyombong
egotistic	egois
egotistical	egois
egregious	mengerikan
egregiously	sangat buruk
egress	jalan keluar
egret	kuntul
egrets	burung bangau
eh	eh
eide	eide
eider	bebek laut
eiderdown	bulu angsa
eiders	burung eider
eidetic	eidetik
eidolon	eidolon
eidos	eidos
eigenfunction	fungsi eigen
eigenvalue	nilai eigen
eigenvalues	nilai eigen
eigenvector	vektor eigen
eigenvectors	vektor eigen
eight	delapan
eightball	bola delapan
eighteen	delapan belas
eighteenth	kedelapanbelas
eightfold	delapan kali lipat
eighth	kedelapan
eighths	seperdelapan
eighties	tahun delapanpuluhan
eightieth	kedelapan puluh
eightpence	delapan pence
eights	angka delapan
eighty	delapan puluh
eikon	eikon
einsteinium	einsteinium
eisteddfod	festival
either	salah satu
ejaculate	ejakulasi
ejaculated	ejakulasi
ejaculates	ejakulasi
ejaculating	ejakulasi
ejaculation	ejakulasi
ejaculations	ejakulasi
ejaculatory	ejakulasi
eject	mengeluarkan
ejecta	ejekta
ejected	dikeluarkan
ejecting	mengeluarkan
ejection	penyemburan
ejections	pengeluaran
ejectment	pengusiran
ejector	ejektor
ejectors	ejektor
ejects	mengeluarkan
eke	jua
eked	eked
ekes	ekes
eking	eking
el	el
elaborate	menjelaskan
elaborated	diuraikan
elaborately	secara rinci
elaborates	menjelaskan lebih lanjut
elaborating	menguraikan
elaboration	elaborasi
elaborations	elaborasi
elan	semangat
eland	eland
elapse	berlalu
elapsed	berlalu
elapses	berlalu
elapsing	berlalu
elasmobranch	elasmobranch
elasmobranchs	elasmobranch
elastic	elastis
elastically	elastis
elasticated	elastis
elasticities	elastisitas
elasticity	elastisitas
elasticized	elastis
elastics	elastis
elastin	elastin
elastomer	elastomer
elastomers	elastomer
elate	berbesar hati
elated	gembira
elation	kegembiraan
elbow	siku
elbowed	disikut
elbowing	menyikut
elbows	siku
eld	lapangan
elder	lebih tua
elderberries	buah elderberry
elderberry	buah elderberry
eldercare	perawatan lansia
elderflower	bunga elderflower
elderly	tua
elders	sesepuh
eldest	tertua
eldritch	dahsyat
elecampane	elecampane
elect	memilih
electability	kemampuan untuk dipilih
electable	yg dpt dipilih
elected	terpilih
electing	memilih
election	pemilihan
electioneering	kampanye pemilu
elections	pemilihan umum
elective	pilihan
electives	mata kuliah pilihan
elector	pemilih
electoral	pemilihan umum
electorally	secara elektoral
electorate	para pemilih
electorates	pemilih
electors	pemilih
electret	elektret
electric	listrik
electrical	listrik
electrically	secara elektrik
electrician	tukang listrik
electricians	tukang listrik
electricity	listrik
electrics	listrik
electrification	elektrifikasi
electrified	dialiri listrik
electrify	menggemparkan
electrifying	menggetarkan
electro	elektro
electroacoustics	elektroakustik
electrocardiogram	elektrokardiogram
electrocardiograms	elektrokardiogram
electrocardiograph	elektrokardiograf
electrocardiographic	elektrokardiografik
electrocardiography	elektrokardiografi
electrocautery	elektrokauter
electrochemical	elektrokimia
electrochemically	secara elektrokimia
electrochemistry	elektrokimia
electrocute	melistrikkan
electrocuted	tersengat listrik
electrocution	sengatan listrik
electrocutions	sengatan listrik
electrode	elektroda
electrodes	elektroda
electrodialysis	elektrodialisis
electrodynamic	elektrodinamika
electrodynamics	elektrodinamika
electroencephalogram	elektroensefalogram
electroencephalographic	elektroensefalografi
electroencephalography	elektroensefalografi
electrograph	elektrograf
electrokinetic	elektrokinetik
electrologist	ahli elektrologi
electroluminescence	elektroluminesensi
electroluminescent	elektroluminesen
electrolysis	elektrolisa
electrolyte	elektrolit
electrolytes	elektrolit
electrolytic	elektrolitik
electrolytically	secara elektrolitik
electromagnet	elektromagnet
electromagnetic	elektromagnetik
electromagnetically	secara elektromagnetik
electromagnetism	elektromagnetisme
electromagnets	elektromagnet
electromechanical	elektromekanik
electrometer	elektrometer
electromotive	elektromotif
electromyography	elektromiografi
electron	elektron
electronegative	elektronegatif
electronic	elektronik
electronica	elektronika
electronically	secara elektronik
electronics	elektronik
electrons	elektron
electrophilic	elektrofilik
electrophoresis	elektroforesis
electrophoretic	elektroforesis
electrophysiology	elektrofisiologi
electroplate	menyepuh dgn listrik
electroplated	dilapisi secara elektrokimia
electroplating	pelapisan listrik
electroscope	elektroskop
electroshock	sengatan listrik
electrostatic	elektrostatik
electrostatically	secara elektrostatik
electrostatics	elektrostatika
electrosurgery	elektrosurgi
electrotechnology	elektroteknologi
electrotherapy	elektroterapi
electrothermal	elektrotermal
electroweak	elektroweak
electrum	elektrum
elects	memilih
eleemosynary	untuk amal
elegance	keanggunan
elegant	anggun
elegantly	dengan elegan
elegiac	bersifat sajak sedih
elegies	elegi
elegy	elegi
elem	elemen
element	elemen
elemental	unsur
elementary	dasar
elements	elemen
elemis	elemis
elephant	gajah
elephantiasis	untut
elephantine	seperti gajah
elephants	gajah
elev	elevasi
elevate	mengangkat
elevated	tinggi
elevates	meningkatkan
elevating	meninggikan
elevation	ketinggian
elevations	ketinggian
elevator	lift
elevators	lift
eleven	sebelas
elevens	sebelas
eleventh	kesebelas
elf	peri
elfin	seperti peri
elfish	wasiat
elicit	memperoleh
elicitation	pendatangan
elicited	memunculkan
eliciting	memunculkan
elicitor	pengincar
elicits	memunculkan
elide	elide
elided	dihilangkan
eligibility	kelayakan
eligible	memenuhi syarat
eliminate	menghapuskan
eliminated	dihilangkan
eliminates	menghilangkan
eliminating	menghilangkan
elimination	penghapusan
eliminations	penghapusan
eliminative	eliminatif
eliminator	eliminator
eliminators	eliminator
elision	peniadaan bunyi dlm ucapan
elite	elite
elites	kaum elit
elitism	elitisme
elitist	elitis
elitists	kaum elitis
elixir	eliksir
elixirs	ramuan
elk	rusa besar
elkhound	anjing rusa
elks	rusa
ell	elo
ellipse	elips
ellipses	elips
ellipsis	elipsis
ellipsoid	elipsoid
ellipsoidal	elipsoidal
ellipsoids	elipsoid
elliptic	berbentuk bulat panjang
elliptical	berbentuk bulat panjang
elliptically	secara eliptis
ellipticity	eliptisitas
ells	sel
elm	pohon elm
elms	pohon elm
elocution	seni deklamasi
elodea	elodea
elongate	memanjangkan
elongated	memanjang
elongates	memanjang
elongating	memanjang
elongation	pemanjangan
elongations	perpanjangan
elope	lari dgn kekasih
eloped	kawin lari
elopement	pelarian untuk kawin
eloping	kawin lari
eloquence	kelancaran berbicara
eloquent	fasih
eloquently	dengan fasih
els	els
else	kalau tidak
elsewhere	di tempat lain
elucidate	menjelaskan
elucidated	dijelaskan
elucidates	menjelaskan
elucidating	menjelaskan
elucidation	penjelasan
elucidations	penjelasan
elude	menghindari
eluded	lolos
eludes	lolos
eluding	menghindari
elusive	sukar dipahami
elusiveness	sulit ditangkap
elute	elusi
eluted	terelusi
eluting	melepaskan
elution	elusi
elves	peri
elvish	wasiat
em	mereka
emaciated	kurus
emaciation	kekurusan
email	e-mail
emailed	dikirim melalui email
emailing	mengirim email
emails	email
emanate	muncul
emanated	memancarkan
emanates	memancarkan
emanating	memancar
emanation	emanasi
emanations	pancaran
emancipate	membebaskan
emancipated	dibebaskan
emancipating	membebaskan
emancipation	emansipasi
emancipator	pembebas
emancipatory	emansipatoris
emarginate	berlekuk
emasculate	mengebiri
emasculated	kebiri
emasculating	mengebiri
emasculation	pengebirian
embalm	membalsem
embalmed	diawetkan
embalmer	pembalseman
embalmers	pembalseman
embalming	pembalseman
embankment	tanggul
embankments	tanggul
embarcadero	dermaga
embargo	embargo
embargoed	diembargo
embargoes	embargo
embark	memulai
embarkation	embarkasi
embarked	memulai perjalanan
embarking	memulai
embarks	memulai
embarrass	memalukan
embarrassed	malu
embarrasses	memalukan
embarrassing	memalukan
embarrassingly	memalukan
embarrassment	rasa malu
embarrassments	hal-hal yang memalukan
embassies	kedutaan besar
embassy	kedutaan
embattled	berjuang
embayment	teluk
embed	menanamkan
embedded	tertanam
embedding	penyematan
embeddings	penyematan
embedment	penyematan
embeds	menyematkan
embellish	membumbui
embellished	dihiasi
embellishes	memperindah
embellishing	memperindah
embellishment	perhiasan
embellishments	hiasan
ember	bara
embers	bara api
embezzle	menggelapkan
embezzled	menggelapkan
embezzlement	penggelapan
embezzler	penggelapan dana
embezzling	penggelapan
embitter	menyakitkan hati
embittered	merasa pahit
emblaze	menyala
emblazon	menghiasi
emblazoned	berhias
emblem	lambang
emblematic	bersifat lambang
emblematical	lambang
emblems	lambang
embodied	mirip sekali
embodies	mewujudkan
embodiment	perwujudan
embodiments	perwujudan
embody	mewujudkan
embodying	mewujudkan
embolden	memberanikan
emboldened	dikuatkan
emboldening	memperberani
emboldens	memperberani
emboli	emboli
embolic	emboli
embolism	emboli
embolization	embolisasi
embolus	embolus
emboss	menatah
embossed	timbul
embosser	alat timbul
embossers	alat timbul
embossing	timbul
embouchure	muara sungai
embowered	dinaungi
embrace	merangkul
embraceable	dapat dipeluk
embraced	dipeluk
embraces	merangkul
embracing	merangkul
embrasure	lubang di dinding
embrasures	celah tembak
embrocation	minyak gosok
embroider	menyulam
embroidered	bersulam
embroiderer	penyulam
embroiderers	penyulam
embroideries	sulaman
embroidering	menyulam
embroidery	sulaman
embroil	melibatkan
embroiled	terlibat
embryo	embrio
embryol	embrio
embryological	embriologis
embryology	embriologi
embryonal	embrional
embryonic	embrionik
embryos	embrio
emcee	pembawa acara
emceed	pembawa acara
emcees	pembawa acara
emend	memperbaiki
emendation	perbaikan
emendations	perbaikan
emended	diperbaiki
emerald	zamrud
emeralds	zamrud
emerge	muncul
emerged	muncul
emergence	munculnya
emergencies	keadaan darurat
emergency	keadaan darurat
emergent	muncul
emerges	muncul
emerging	muncul
emerita	emeritus
emeritus	emeritus
emersion	kemunculan
emery	amril
emesis	muntah
emetic	obat emesis
emetics	obat muntah
emetine	emetinus
emf	emf
emfs	gaya gerak listrik
emigrant	emigran
emigrants	emigran
emigrate	beremigrasi
emigrated	beremigrasi
emigrating	beremigrasi
emigration	emigrasi
emigrations	emigrasi
emigre	emigran
emigres	emigran
eminence	keunggulan
eminences	tokoh-tokoh terkemuka
eminent	terkenal
eminently	sungguh
emir	emir
emirate	emirat
emirates	emirat
emirs	para emir
emissaries	utusan
emissary	utusan
emission	emisi
emissions	emisi
emissive	yg memancarkan
emissivities	emisivitas
emissivity	emisivitas
emit	memancarkan
emits	memancarkan
emitted	dipancarkan
emitter	pemancar
emitters	pemancar
emitting	memancarkan
emmer	emmer
emmet	semut
emo	emo
emollient	yg melunakkan
emollients	emolien
emolument	honor
emoluments	tunjangan
emos	emo
emote	emote
emotes	emotikon
emoticon	emotikon
emoticons	emotikon
emoting	mengekspresikan emosi
emotion	emosi
emotional	emosional
emotionalism	emosionalisme
emotionality	emosionalitas
emotionally	secara emosional
emotionless	tanpa emosi
emotions	emosi
emotive	emosi
empanada	empanada
empathetic	empati
empathic	empatik
empathize	berempati
empathized	berempati
empathizing	berempati
empathy	empati
emperor	kaisar
emperors	kaisar
emphases	penekanan
emphasis	tekanan
emphasize	menekankan
emphasized	ditekankan
emphasizes	menekankan
emphasizing	menekankan
emphatic	tegas
emphatically	dengan tegas
emphysema	empisema
empire	kerajaan
empires	kerajaan
empiric	empiris
empirical	empiris
empirically	secara empiris
empiricism	empirisme
empiricist	empiris
empiricists	kaum empiris
emplacement	emplasemen
emplacements	penempatan
employ	mempekerjakan
employability	kemampuan kerja
employable	dapat dipekerjakan
employed	dipekerjakan
employee	karyawan
employees	karyawan
employer	pemberi pekerjaan
employers	majikan
employing	mempekerjakan
employment	pekerjaan
employments	pekerjaan
employs	mempekerjakan
emporium	pusat perbelanjaan
emporiums	pusat perbelanjaan
empower	memberdayakan
empowered	diberdayakan
empowering	memberdayakan
empowerment	pemberdayaan
empowers	memberdayakan
empress	permaisuri
empresses	permaisuri
emprise	perusahaan
emptied	dikosongkan
emptier	lebih kosong
empties	kosong
emptiness	kekosongan
emptor	pembeli
empty	kosong
emptying	endapan
empyema	empiema
empyreal	langit
empyrean	langit
ems	EMS
emu	burung emu
emulate	meniru
emulated	ditiru
emulates	meniru
emulating	meniru
emulation	simulasi
emulations	simulasi
emulator	emulator
emulators	emulator
emulous	yg menandingi
emulsification	emulsifikasi
emulsified	teremulsi
emulsifier	pengemulsi
emulsifiers	pengemulsi
emulsify	menjadi emulsi
emulsifying	pengemulsi
emulsion	emulsi
emulsions	emulsi
emus	burung emu
en	en
enable	memungkinkan
enabled	diaktifkan
enabler	pendorong
enablers	pendorong
enables	memungkinkan
enabling	mengaktifkan
enact	menetapkan
enacted	diberlakukan
enacting	yg membuat
enactment	pemberlakuan
enactments	undang-undang
enactor	pemeran
enacts	memberlakukan
enamel	email
enameled	berenamel
enameling	pelapisan enamel
enamels	enamel
enamelware	peralatan enamel
enamored	terpikat
enate	enat
enc	enc
encamp	berkemah
encamped	berkemah
encamping	berkemah
encampment	perkemahan
encampments	perkemahan
encapsulate	membungkus
encapsulated	terbungkus
encapsulates	merangkum
encapsulating	membungkus
encapsulation	enkapsulasi
encapsulations	enkapsulasi
encase	membungkus
encased	terbungkus
encasement	bungkus
encases	membungkus
encasing	membungkus
encaustic	enkaustik
enceinte	hamil
encephalitis	radang otak
encephalomyelitis	ensefalomielitis
encephalopathy	ensefalopati
enchained	dirantai
enchant	mempesona
enchanted	terpesona
enchanter	ahli sihir
enchanters	penyihir
enchanting	mempesona
enchantingly	mempesona
enchantment	pesona
enchantments	pesona
enchantress	penyihir
enchants	mempesona
enchilada	enchilada
enchiladas	enchiladas
enchiridion	buku pedoman
encipher	menulis dlm kode
enciphered	dienkripsi
enciphering	mengenkripsi
encipherment	enkripsi
encircle	mengelilingi
encircled	dikelilingi
encirclement	pengepungan
encircles	mengelilingi
encircling	mengelilingi
encl	terlampir
enclave	daerah kantong
enclaves	kantong-kantong wilayah
enclitic	enklitika
enclose	melingkupi
enclosed	diselubungi
encloses	meliputi
enclosing	membungkus
enclosure	lampiran
enclosures	kandang
encode	menyandi
encoded	dikodekan
encoder	pengkode
encoders	pengkode
encodes	mengkodekan
encoding	pengkodean
encomium	pujian
encomiums	pujian
encompass	mencakup
encompassed	mencakup
encompasses	mencakup
encompassing	meliputi
encore	encore
encores	encore
encounter	bertemu
encountered	bertemu
encountering	bertemu
encounters	pertemuan
encourage	mendorong
encouraged	didorong
encouragement	dorongan
encouragements	dorongan
encourager	pemberi semangat
encourages	mendorong
encouraging	mendorong
encouragingly	menggembirakan
encroach	mengganggu
encroached	melanggar
encroaches	melanggar
encroaching	melanggar
encroachment	gangguan
encroachments	pelanggaran
encrustation	kerak
encrusted	berlapiskan
encrusting	melapisi
encrypt	enkripsi
encrypted	terenkripsi
encrypting	mengenkripsi
encryption	enkripsi
encryptions	enkripsi
encrypts	mengenkripsi
enculturation	enkulturasi
encumber	membebani
encumbered	terbebani
encumbering	memberatkan
encumbrance	beban
encumbrances	beban
ency	ency
encyclical	ensiklik
encyclicals	ensiklik
encyclopedia	ensiklopedi
encyclopedias	ensiklopedia
encyclopedic	ensiklopedia
encyclopedists	ensiklopedis
encysted	terbungkus kista
end	akhir
endanger	membahayakan
endangered	terancam bahaya
endangering	membahayakan
endangerment	bahaya
endangers	membahayakan
endear	menimbulkan perasaan cinta
endeared	disayangi
endearing	menggemaskan
endearingly	dengan penuh kasih sayang
endearment	kasih sayang
endearments	kata-kata sayang
endears	menyukai
endeavor	berusaha keras
endeavored	berusaha
endeavoring	berusaha
endeavors	upaya
ended	berakhir
endemic	endemis
endemicity	endemik
endemics	endemik
endemism	endemisme
endgame	akhir permainan
endgames	akhir permainan
ending	akhir
endings	akhir
endive	andewi
endless	tak berujung
endlessly	tanpa henti
endlessness	tak berujung
endnote	catatan akhir
endocardial	endokardial
endocarditis	endokarditis
endocardium	endokardium
endocrine	kelenjar endokrin
endocrinological	endokrinologi
endocrinologist	ahli endokrinologi
endocrinologists	ahli endokrinologi
endocrinology	endokrinologi
endoderm	endoderm
endodermis	endodermis
endodontic	endodontik
endodontics	endodontik
endodontist	dokter gigi spesialis endodonti
endodontists	dokter gigi spesialis endodonti
endogamous	endogami
endogamy	endogami
endogenous	endogen
endogenously	secara endogen
endolymph	endolimfa
endometrial	endometrium
endometriosis	endometriosis
endometrium	endometrium
endomorphism	endomorfisme
endomorphisms	endomorfisme
endopeptidase	endopeptidase
endophyte	endofit
endoplasmic	endoplasma
endorphin	endorfin
endorphins	endorfin
endorse	mendukung
endorsed	didukung
endorsement	dukungan
endorsements	dukungan
endorser	pendukung
endorsers	pendukung
endorses	mendukung
endorsing	mendukung
endoscope	endoskop
endoscopes	endoskop
endoscopic	endoskopi
endoscopy	endoskopi
endosperm	endosperm
endothelial	endotel
endothelium	endotelium
endothermic	endotermik
endotoxin	endotoksin
endotracheal	endotrakeal
endow	memberkati
endowed	diberkahi
endowing	memberikan
endowment	sumbangan
endowments	dana abadi
endows	menganugerahi
endpaper	halaman penutup
endpapers	kertas penutup
endpoint	titik akhir
endpoints	titik akhir
endrin	endrin
ends	berakhir
endued	dikaruniai
endurable	tahan lama
endurance	ketahanan
endure	menderita
endured	bertahan
endures	bertahan
enduring	abadi
enema	enema
enemas	enema
enemies	musuh
enemy	musuh
energetic	energik
energetically	secara energik
energetics	energetika
energies	energi
energize	memberi energi
energized	bersemangat
energizer	penggiat
energizers	pembangkit energi
energizes	memberi energi
energizing	memberi energi
energy	energi
enervated	melemah
enervating	melemahkan
enface	muka
enfeebled	melemah
enfilade	enfilade
enfold	memeluk
enfolded	terlipat
enfolding	membungkus
enfolds	menyelimuti
enforce	melaksanakan
enforceability	keberlakuan
enforceable	dapat ditegakkan
enforced	diberlakukan
enforcement	pelaksanaan
enforcements	penegakan hukum
enforcer	penegak hukum
